procurement_id,agency,contract_title,country,renewal_date,estimated_value,incumbent,prime_pathwy_priority,days_to_renewal,action_required
PROC-02293,Solano County — Purchasing Services,Pest Control & Sanitation Services — Solano County,US,2026-11-07,"$300,000–$500,000",CACI International,WATCH — 90+ Days,161,Monitor
PROC-00691,Queensland Government — QTenders,Environmental Compliance & Remediation Services — Queensland Government,AU,2026-11-08,"$10,000,000–$25,000,000",ManTech International,CRITICAL — Bid Now,162,Monitor
PROC-01461,NASA — Procurement Division,Professional Consulting Services — NASA,US,2026-11-08,"$1,000,000–$2,500,000",ABM Industries Inc.,WATCH — 90+ Days,162,Monitor
PROC-02388,City of Melbourne — Procurement,HVAC Maintenance & Mechanical Services — City of Melbourne,AU,2026-11-08,"$25,000–$75,000",G4S Secure Solutions,MEDIUM — 60-Day Pipeline,162,Monitor
PROC-00044,City of Calgary — Purchasing,Uniformed Security Guard Services — City of Calgary,CA,2026-11-09,"$10,000,000–$25,000,000",Aramark Corporation,HIGH — Prepare in 30 Days,163,Monitor
PROC-00637,Highways England (National Highways),Custodial Services Contract — Highways England (National Highways),UK,2026-11-09,"$2,500,000–$5,000,000",Robert Half International,MEDIUM — 60-Day Pipeline,163,Monitor
PROC-00808,Alameda County — GSA Purchasing,Pest Control & Sanitation Services — Alameda County,US,2026-11-09,"$25,000,000+",Clean Harbors Inc.,CRITICAL — Bid Now,163,Monitor
PROC-01614,Department of Transportation (DOT),Fleet Maintenance & Vehicle Repair Services — Department of Transportation (DOT),US,2026-11-09,"$2,500,000–$5,000,000",Local Independent Vendor,HIGH — Prepare in 30 Days,163,Monitor
PROC-02329,NASA — Procurement Division,Electrical Maintenance & Repair Services — NASA,US,2026-11-09,"$150,000–$300,000",G4S Secure Solutions,CRITICAL — Bid Now,163,Monitor
PROC-02810,Ministry of Defence (MOD) — Defence Equipment & Support,Grounds Maintenance & Landscaping Services — Ministry of Defence (MOD),UK,2026-11-09,"$500,000–$1,000,000",SAIC (Science Applications International Corp.),CRITICAL — Bid Now,163,Monitor
PROC-00506,San Francisco Municipal Transportation Agency (SFMTA),Public Works & Infrastructure Maintenance — San Francisco Municipal Transportation Agency (SFMTA),US,2026-11-10,"$25,000,000+",Xerox Corporation,WATCH — 90+ Days,164,Monitor
PROC-01898,NHS Supply Chain,Environmental Compliance & Remediation Services — NHS Supply Chain,UK,2026-11-10,"$300,000–$500,000",Unknown/No Incumbent,CRITICAL — Bid Now,164,Monitor
PROC-02854,NASA — Procurement Division,Electrical Maintenance & Repair Services — NASA,US,2026-11-10,"$25,000–$75,000",Recall Holdings,HIGH — Prepare in 30 Days,164,Monitor
PROC-00047,Department of Transportation (DOT),Facilities Maintenance & Repair Services — Department of Transportation (DOT),US,2026-11-11,"$75,000–$150,000",Sodexo USA,MEDIUM — 60-Day Pipeline,165,Monitor
PROC-00084,Highways England (National Highways),Temporary Staffing & Workforce Solutions — Highways England (National Highways),UK,2026-11-11,"$300,000–$500,000",Coverall Holding Company,CRITICAL — Bid Now,165,Monitor
PROC-00316,Crown Commercial Service (CCS),Professional Consulting Services — Crown Commercial Service (CCS),UK,2026-11-11,"$300,000–$500,000",G4S Secure Solutions,WATCH — 90+ Days,165,Monitor
PROC-01594,San Francisco Municipal Transportation Agency (SFMTA),Construction & Facility Renovation Services — San Francisco Municipal Transportation Agency (SFMTA),US,2026-11-12,"$75,000–$150,000",Sodexo USA,CRITICAL — Bid Now,166,Monitor
PROC-02509,California Department of General Services (DGS),Temporary Staffing & Workforce Solutions — California Department of General Services (DGS),US,2026-11-12,"$150,000–$300,000",Adecco Group,WATCH — 90+ Days,166,Monitor
PROC-02899,City of Vallejo — Purchasing Division,IT Infrastructure & Managed Services Contract — City of Vallejo,US,2026-11-12,"$25,000–$75,000",Booz Allen Hamilton,HIGH — Prepare in 30 Days,166,Monitor
PROC-00363,City of Melbourne — Procurement,Transportation & Logistics Services — City of Melbourne,AU,2026-11-13,"$75,000–$150,000",Recall Holdings,HIGH — Prepare in 30 Days,167,Monitor
PROC-01306,Miami-Dade County — Internal Services Department,Transportation & Logistics Services — Miami-Dade County,US,2026-11-13,"$150,000–$300,000",Allied Universal Security Services,CRITICAL — Bid Now,167,Monitor
PROC-02014,City of Vacaville — Administrative Services,Records Management & Document Digitization Services — City of Vacaville,US,2026-11-13,"$10,000,000–$25,000,000",Fluor Corporation,WATCH — 90+ Days,167,Monitor
PROC-02315,Alameda County — GSA Purchasing,Records Management & Document Digitization Services — Alameda County,US,2026-11-13,"$1,000,000–$2,500,000",Jani-King International,MEDIUM — 60-Day Pipeline,167,Monitor
PROC-02782,City of Chicago — Department of Procurement Services,Public Works & Infrastructure Maintenance — City of Chicago,US,2026-11-13,"$300,000–$500,000",Allied Universal Security Services,HIGH — Prepare in 30 Days,167,Monitor
PROC-00945,London Borough of Southwark — Procurement,Grounds Maintenance & Landscaping Services — London Borough of Southwark,UK,2026-11-14,"$5,000,000–$10,000,000",CACI International,CRITICAL — Bid Now,168,Monitor
PROC-01022,City of Toronto — Purchasing and Materials Management,Food Services & Catering Contract — City of Toronto,CA,2026-11-14,"$25,000,000+",Republic Services Inc.,CRITICAL — Bid Now,168,Monitor
PROC-01246,City of Calgary — Purchasing,Grounds Maintenance & Landscaping Services — City of Calgary,CA,2026-11-14,"$5,000,000–$10,000,000",Jani-King International,MEDIUM — 60-Day Pipeline,168,Monitor
PROC-01375,Bay Area Rapid Transit (BART),Records Management & Document Digitization Services — Bay Area Rapid Transit (BART),US,2026-11-14,"$10,000,000–$25,000,000",Jani-King International,WATCH — 90+ Days,168,Monitor
PROC-01483,San Francisco Municipal Transportation Agency (SFMTA),Uniformed Security Guard Services — San Francisco Municipal Transportation Agency (SFMTA),US,2026-11-14,"$500,000–$1,000,000",ServiceMaster Clean,MEDIUM — 60-Day Pipeline,168,Monitor
PROC-02841,US Postal Service (USPS) — Procurement,Environmental Compliance & Remediation Services — US Postal Service (USPS),US,2026-11-14,"$5,000,000–$10,000,000",Fluor Corporation,MEDIUM — 60-Day Pipeline,168,Monitor
PROC-02853,Port of Los Angeles,IT Infrastructure & Managed Services Contract — Port of Los Angeles,US,2026-11-14,"$2,500,000–$5,000,000",CACI International,CRITICAL — Bid Now,168,Monitor
PROC-00765,NASA — Procurement Division,Uniformed Security Guard Services — NASA,US,2026-11-15,"$300,000–$500,000",AECOM Technology Corp.,CRITICAL — Bid Now,169,Monitor
PROC-00784,Greater Vancouver Transit Authority (TransLink),Food Services & Catering Contract — Greater Vancouver Transit Authority (TransLink),CA,2026-11-15,"$5,000,000–$10,000,000",Manpower Group,MEDIUM — 60-Day Pipeline,169,Monitor
PROC-02212,Toronto Transit Commission (TTC) — Procurement,Debris Removal & Waste Hauling Services — Toronto Transit Commission (TTC),CA,2026-11-15,"$300,000–$500,000",Manpower Group,CRITICAL — Bid Now,169,Monitor
PROC-02339,City of Sydney — Procurement,Pest Control & Sanitation Services — City of Sydney,AU,2026-11-15,"$10,000,000–$25,000,000",Jan-Pro Franchising International,MEDIUM — 60-Day Pipeline,169,Monitor
PROC-00608,Department of Transportation (DOT),AI & Process Automation Implementation Services — Department of Transportation (DOT),US,2026-11-16,"$25,000–$75,000",ManTech International,MEDIUM — 60-Day Pipeline,170,Monitor
PROC-01296,University of California System (UC),Construction & Facility Renovation Services — University of California System (UC),US,2026-11-16,"$1,000,000–$2,500,000",Leidos Holdings Inc.,CRITICAL — Bid Now,170,Monitor
PROC-02571,Transport for London (TfL) — Procurement,Food Services & Catering Contract — Transport for London (TfL),UK,2026-11-16,"$25,000,000+",SAIC (Science Applications International Corp.),HIGH — Prepare in 30 Days,170,Monitor
PROC-02742,City of Phoenix — Procurement Division,Electrical Maintenance & Repair Services — City of Phoenix,US,2026-11-16,"$75,000–$150,000",Coverall Holding Company,WATCH — 90+ Days,170,Monitor
PROC-01463,City of Vancouver — Procurement Services,Uniformed Security Guard Services — City of Vancouver,CA,2026-11-17,"$300,000–$500,000",Adecco Group,HIGH — Prepare in 30 Days,171,Monitor
PROC-01624,Miami-Dade County — Internal Services Department,Environmental Compliance & Remediation Services — Miami-Dade County,US,2026-11-17,"$150,000–$300,000",ServiceMaster Clean,CRITICAL — Bid Now,171,Monitor
PROC-02016,City of Melbourne — Procurement,Facilities Maintenance & Repair Services — City of Melbourne,AU,2026-11-17,"$500,000–$1,000,000",Parsons Corporation,CRITICAL — Bid Now,171,Monitor
PROC-02799,City of Vallejo — Purchasing Division,Transportation & Logistics Services — City of Vallejo,US,2026-11-17,"$25,000,000+",Robert Half International,CRITICAL — Bid Now,171,Monitor
PROC-00232,California Department of Corrections (CDCR),Environmental Compliance & Remediation Services — California Department of Corrections (CDCR),US,2026-11-18,"$150,000–$300,000",G4S Secure Solutions,CRITICAL — Bid Now,172,Monitor
PROC-00346,City of Seattle — Purchasing & Contracting,Professional Consulting Services — City of Seattle,US,2026-11-18,"$1,000,000–$2,500,000",Parsons Corporation,CRITICAL — Bid Now,172,Monitor
PROC-00856,Bay Area Rapid Transit (BART),Temporary Staffing & Workforce Solutions — Bay Area Rapid Transit (BART),US,2026-11-18,"$150,000–$300,000",Aramark Corporation,HIGH — Prepare in 30 Days,172,Monitor
PROC-01506,Highways England (National Highways),HVAC Maintenance & Mechanical Services — Highways England (National Highways),UK,2026-11-18,"$25,000,000+",Aramark Corporation,HIGH — Prepare in 30 Days,172,Monitor
PROC-01636,City of Seattle — Purchasing & Contracting,Public Works & Infrastructure Maintenance — City of Seattle,US,2026-11-18,"$25,000,000+",G4S Secure Solutions,MEDIUM — 60-Day Pipeline,172,Monitor
PROC-01988,Public Services and Procurement Canada (PSPC),Facilities Maintenance & Repair Services — Public Services and Procurement Canada (PSPC),CA,2026-11-18,"$2,500,000–$5,000,000",Xerox Corporation,MEDIUM — 60-Day Pipeline,172,Monitor
PROC-02323,US Postal Service (USPS) — Procurement,Uniformed Security Guard Services — US Postal Service (USPS),US,2026-11-18,"$25,000,000+",Allied Universal Security Services,CRITICAL — Bid Now,172,Monitor
PROC-02721,Los Angeles Unified School District (LAUSD),HVAC Maintenance & Mechanical Services — Los Angeles Unified School District (LAUSD),US,2026-11-18,"$25,000–$75,000",SAIC (Science Applications International Corp.),MEDIUM — 60-Day Pipeline,172,Monitor
PROC-00247,Toronto Transit Commission (TTC) — Procurement,Custodial Services Contract — Toronto Transit Commission (TTC),CA,2026-11-19,"$500,000–$1,000,000",ManTech International,MEDIUM — 60-Day Pipeline,173,Monitor
PROC-01220,City of Melbourne — Procurement,Grounds Maintenance & Landscaping Services — City of Melbourne,AU,2026-11-19,"$300,000–$500,000",Sodexo USA,WATCH — 90+ Days,173,Monitor
PROC-01691,San Francisco Municipal Transportation Agency (SFMTA),Electrical Maintenance & Repair Services — San Francisco Municipal Transportation Agency (SFMTA),US,2026-11-19,"$75,000–$150,000",Manpower Group,MEDIUM — 60-Day Pipeline,173,Monitor
PROC-02399,City of Benicia — Finance Department,Fleet Maintenance & Vehicle Repair Services — City of Benicia,US,2026-11-19,"$500,000–$1,000,000",ServiceMaster Clean,MEDIUM — 60-Day Pipeline,173,Monitor
PROC-02569,Department of Defense (DoD) — DIBBS,Construction & Facility Renovation Services — Department of Defense (DoD),US,2026-11-19,"$5,000,000–$10,000,000",Manpower Group,MEDIUM — 60-Day Pipeline,173,Monitor
PROC-01414,Social Security Administration (SSA),Construction & Facility Renovation Services — Social Security Administration (SSA),US,2026-11-20,"$2,500,000–$5,000,000",Iron Mountain Inc.,MEDIUM — 60-Day Pipeline,174,Monitor
PROC-01435,Contra Costa County — Purchasing,Environmental Compliance & Remediation Services — Contra Costa County,US,2026-11-20,"$25,000,000+",ServiceMaster Clean,WATCH — 90+ Days,174,Monitor
PROC-01700,Transport for London (TfL) — Procurement,Healthcare Facility Support Services — Transport for London (TfL),UK,2026-11-20,"$2,500,000–$5,000,000",Regional Service Provider,CRITICAL — Bid Now,174,Monitor
PROC-01751,California Department of Education (CDE),Custodial Services Contract — California Department of Education (CDE),US,2026-11-20,"$25,000,000+",Waste Management Inc.,MEDIUM — 60-Day Pipeline,174,Monitor
PROC-02823,Los Angeles Unified School District (LAUSD),Professional Consulting Services — Los Angeles Unified School District (LAUSD),US,2026-11-20,"$500,000–$1,000,000",Unknown/No Incumbent,WATCH — 90+ Days,174,Monitor
PROC-00576,City of Chicago — Department of Procurement Services,Debris Removal & Waste Hauling Services — City of Chicago,US,2026-11-21,"$2,500,000–$5,000,000",Jacobs Engineering Group,WATCH — 90+ Days,175,Monitor
PROC-00592,City of Vallejo — Purchasing Division,Public Works & Infrastructure Maintenance — City of Vallejo,US,2026-11-21,"$5,000,000–$10,000,000",Jani-King International,HIGH — Prepare in 30 Days,175,Monitor
PROC-01305,Department of Defense (DoD) — DIBBS,Healthcare Facility Support Services — Department of Defense (DoD),US,2026-11-21,"$10,000,000–$25,000,000",Securitas Security Services USA,MEDIUM — 60-Day Pipeline,175,Monitor
PROC-01541,Port of Los Angeles,Food Services & Catering Contract — Port of Los Angeles,US,2026-11-21,"$500,000–$1,000,000",Local Independent Vendor,MEDIUM — 60-Day Pipeline,175,Monitor
PROC-01570,City of Fairfield — Purchasing,Debris Removal & Waste Hauling Services — City of Fairfield,US,2026-11-21,"$300,000–$500,000",Jacobs Engineering Group,MEDIUM — 60-Day Pipeline,175,Monitor
PROC-00382,City of Chicago — Department of Procurement Services,Public Works & Infrastructure Maintenance — City of Chicago,US,2026-11-22,"$75,000–$150,000",Iron Mountain Inc.,MEDIUM — 60-Day Pipeline,176,Monitor
PROC-00888,Transport for NSW,Facilities Maintenance & Repair Services — Transport for NSW,AU,2026-11-22,"$1,000,000–$2,500,000",Iron Mountain Inc.,CRITICAL — Bid Now,176,Monitor
PROC-02487,Department of Homeland Security (DHS),Construction & Facility Renovation Services — Department of Homeland Security (DHS),US,2026-11-22,"$25,000,000+",Recall Holdings,MEDIUM — 60-Day Pipeline,176,Monitor
PROC-02529,City of Houston — Office of Business Opportunities,Food Services & Catering Contract — City of Houston,US,2026-11-22,"$25,000–$75,000",CACI International,MEDIUM — 60-Day Pipeline,176,Monitor
PROC-02556,City of Vallejo — Purchasing Division,Temporary Staffing & Workforce Solutions — City of Vallejo,US,2026-11-22,"$1,000,000–$2,500,000",Manpower Group,MEDIUM — 60-Day Pipeline,176,Monitor
PROC-00072,City of Vacaville — Administrative Services,Fleet Maintenance & Vehicle Repair Services — City of Vacaville,US,2026-11-23,"$10,000,000–$25,000,000",CACI International,MEDIUM — 60-Day Pipeline,177,Monitor
PROC-00835,University of California System (UC),Food Services & Catering Contract — University of California System (UC),US,2026-11-23,"$500,000–$1,000,000",Waste Management Inc.,MEDIUM — 60-Day Pipeline,177,Monitor
PROC-01996,Alameda County — GSA Purchasing,Food Services & Catering Contract — Alameda County,US,2026-11-23,"$25,000–$75,000",ManTech International,WATCH — 90+ Days,177,Monitor
PROC-00503,Los Angeles Unified School District (LAUSD),Records Management & Document Digitization Services — Los Angeles Unified School District (LAUSD),US,2026-11-24,"$25,000,000+",Stericycle Inc.,MEDIUM — 60-Day Pipeline,178,Monitor
PROC-01381,Port of Oakland,Custodial Services Contract — Port of Oakland,US,2026-11-24,"$5,000,000–$10,000,000",Allied Universal Security Services,CRITICAL — Bid Now,178,Monitor
PROC-02576,AusTender — Australian Government Procurement,IT Infrastructure & Managed Services Contract — AusTender,AU,2026-11-24,"$25,000,000+",Manpower Group,WATCH — 90+ Days,178,Monitor
PROC-02717,Miami-Dade County — Internal Services Department,Facilities Maintenance & Repair Services — Miami-Dade County,US,2026-11-24,"$75,000–$150,000",Allied Universal Security Services,MEDIUM — 60-Day Pipeline,178,Monitor
PROC-00106,Port of Los Angeles,HVAC Maintenance & Mechanical Services — Port of Los Angeles,US,2026-11-25,"$2,500,000–$5,000,000",Cintas Corporation,HIGH — Prepare in 30 Days,179,Monitor
PROC-00039,California Department of Transportation (Caltrans),Temporary Staffing & Workforce Solutions — California Department of Transportation (Caltrans),US,2026-11-26,"$1,000,000–$2,500,000",Cintas Corporation,HIGH — Prepare in 30 Days,180,Monitor
PROC-00056,Sacramento County — Purchasing Division,HVAC Maintenance & Mechanical Services — Sacramento County,US,2026-11-26,"$500,000–$1,000,000",Fluor Corporation,CRITICAL — Bid Now,180,Monitor
PROC-00387,Victorian Government — Tenders VIC,Environmental Compliance & Remediation Services — Victorian Government,AU,2026-11-26,"$25,000,000+",Securitas Security Services USA,HIGH — Prepare in 30 Days,180,Monitor
PROC-01564,Province of British Columbia — BC Bid,Uniformed Security Guard Services — Province of British Columbia,CA,2026-11-26,"$75,000–$150,000",Jani-King International,WATCH — 90+ Days,180,Monitor
PROC-01702,City of Benicia — Finance Department,Environmental Compliance & Remediation Services — City of Benicia,US,2026-11-26,"$75,000–$150,000",Waste Management Inc.,HIGH — Prepare in 30 Days,180,Monitor
PROC-02735,Transport for NSW,Debris Removal & Waste Hauling Services — Transport for NSW,AU,2026-11-26,"$75,000–$150,000",ABM Industries Inc.,HIGH — Prepare in 30 Days,180,Monitor
PROC-00071,Province of British Columbia — BC Bid,Grounds Maintenance & Landscaping Services — Province of British Columbia,CA,2026-11-27,"$75,000–$150,000",SAIC (Science Applications International Corp.),HIGH — Prepare in 30 Days,181,Monitor
PROC-00287,NASA — Procurement Division,Transportation & Logistics Services — NASA,US,2026-11-27,"$300,000–$500,000",Coverall Holding Company,MEDIUM — 60-Day Pipeline,181,Monitor
PROC-01742,AusTender — Australian Government Procurement,Records Management & Document Digitization Services — AusTender,AU,2026-11-27,"$1,000,000–$2,500,000",Securitas Security Services USA,HIGH — Prepare in 30 Days,181,Monitor
PROC-01839,Province of British Columbia — BC Bid,Environmental Compliance & Remediation Services — Province of British Columbia,CA,2026-11-27,"$25,000,000+",Unknown/No Incumbent,MEDIUM — 60-Day Pipeline,181,Monitor
PROC-02151,Public Services and Procurement Canada (PSPC),Uniformed Security Guard Services — Public Services and Procurement Canada (PSPC),CA,2026-11-27,"$25,000–$75,000",ABM Industries Inc.,WATCH — 90+ Days,181,Monitor
PROC-02459,AusTender — Australian Government Procurement,Debris Removal & Waste Hauling Services — AusTender,AU,2026-11-27,"$10,000,000–$25,000,000",Jacobs Engineering Group,MEDIUM — 60-Day Pipeline,181,Monitor
PROC-00198,General Services Administration (GSA),Electrical Maintenance & Repair Services — General Services Administration (GSA),US,2026-11-28,"$150,000–$300,000",Securitas Security Services USA,HIGH — Prepare in 30 Days,182,Monitor
PROC-00543,University of California System (UC),Uniformed Security Guard Services — University of California System (UC),US,2026-11-28,"$2,500,000–$5,000,000",Sodexo USA,HIGH — Prepare in 30 Days,182,Monitor
PROC-01345,Contra Costa County — Purchasing,Environmental Compliance & Remediation Services — Contra Costa County,US,2026-11-28,"$150,000–$300,000",Recall Holdings,MEDIUM — 60-Day Pipeline,182,Monitor
PROC-01834,Province of Ontario — Ontario Shared Services,IT Infrastructure & Managed Services Contract — Province of Ontario,CA,2026-11-28,"$75,000–$150,000",Robert Half International,WATCH — 90+ Days,182,Monitor
PROC-02085,Port of Oakland,Fleet Maintenance & Vehicle Repair Services — Port of Oakland,US,2026-11-28,"$25,000–$75,000",Unknown/No Incumbent,WATCH — 90+ Days,182,Monitor
PROC-02334,Public Services and Procurement Canada (PSPC),Healthcare Facility Support Services — Public Services and Procurement Canada (PSPC),CA,2026-11-28,"$10,000,000–$25,000,000",Pitney Bowes Inc.,MEDIUM — 60-Day Pipeline,182,Monitor
PROC-02404,Bay Area Rapid Transit (BART),Records Management & Document Digitization Services — Bay Area Rapid Transit (BART),US,2026-11-28,"$300,000–$500,000",Unknown/No Incumbent,WATCH — 90+ Days,182,Monitor
PROC-02593,AusTender — Australian Government Procurement,Fleet Maintenance & Vehicle Repair Services — AusTender,AU,2026-11-28,"$500,000–$1,000,000",ABM Industries Inc.,HIGH — Prepare in 30 Days,182,Monitor
PROC-00293,Alameda County — GSA Purchasing,Fleet Maintenance & Vehicle Repair Services — Alameda County,US,2026-11-29,"$1,000,000–$2,500,000",Regional Service Provider,MEDIUM — 60-Day Pipeline,183,Monitor
PROC-00823,Province of British Columbia — BC Bid,Grounds Maintenance & Landscaping Services — Province of British Columbia,CA,2026-11-29,"$25,000–$75,000",Booz Allen Hamilton,HIGH — Prepare in 30 Days,183,Monitor
PROC-01983,City of Houston — Office of Business Opportunities,Records Management & Document Digitization Services — City of Houston,US,2026-11-29,"$300,000–$500,000",Pitney Bowes Inc.,HIGH — Prepare in 30 Days,183,Monitor
PROC-02481,US Postal Service (USPS) — Procurement,Public Works & Infrastructure Maintenance — US Postal Service (USPS),US,2026-11-29,"$25,000,000+",Manpower Group,MEDIUM — 60-Day Pipeline,183,Monitor
PROC-02490,NSW Government — eTendering,Construction & Facility Renovation Services — NSW Government,AU,2026-11-29,"$500,000–$1,000,000",Jan-Pro Franchising International,HIGH — Prepare in 30 Days,183,Monitor
PROC-00582,Department of Veterans Affairs (VA),Public Works & Infrastructure Maintenance — Department of Veterans Affairs (VA),US,2026-11-30,"$1,000,000–$2,500,000",Securitas Security Services USA,CRITICAL — Bid Now,184,Monitor
PROC-01104,City of Toronto — Purchasing and Materials Management,Uniformed Security Guard Services — City of Toronto,CA,2026-11-30,"$25,000–$75,000",Allied Universal Security Services,CRITICAL — Bid Now,184,Monitor
PROC-01870,Contra Costa County — Purchasing,Facilities Maintenance & Repair Services — Contra Costa County,US,2026-11-30,"$5,000,000–$10,000,000",Sodexo USA,MEDIUM — 60-Day Pipeline,184,Monitor
PROC-02369,Alameda County — GSA Purchasing,Facilities Maintenance & Repair Services — Alameda County,US,2026-11-30,"$25,000,000+",Jacobs Engineering Group,WATCH — 90+ Days,184,Monitor
PROC-02558,Province of British Columbia — BC Bid,Uniformed Security Guard Services — Province of British Columbia,CA,2026-11-30,"$25,000,000+",Regional Service Provider,HIGH — Prepare in 30 Days,184,Monitor
PROC-01228,Sacramento County — Purchasing Division,Temporary Staffing & Workforce Solutions — Sacramento County,US,2026-12-01,"$300,000–$500,000",Xerox Corporation,HIGH — Prepare in 30 Days,185,Monitor
PROC-01611,Department of Defense (DoD) — DIBBS,Environmental Compliance & Remediation Services — Department of Defense (DoD),US,2026-12-01,"$300,000–$500,000",SAIC (Science Applications International Corp.),MEDIUM — 60-Day Pipeline,185,Monitor
PROC-02787,Department of Defense (DoD) — DIBBS,Records Management & Document Digitization Services — Department of Defense (DoD),US,2026-12-01,"$5,000,000–$10,000,000",Booz Allen Hamilton,CRITICAL — Bid Now,185,Monitor
PROC-01148,NASA — Procurement Division,Temporary Staffing & Workforce Solutions — NASA,US,2026-12-02,"$25,000,000+",Waste Management Inc.,HIGH — Prepare in 30 Days,186,Monitor
PROC-01706,Public Services and Procurement Canada (PSPC),Environmental Compliance & Remediation Services — Public Services and Procurement Canada (PSPC),CA,2026-12-02,"$1,000,000–$2,500,000",Regional Service Provider,WATCH — 90+ Days,186,Monitor
PROC-02534,Ministry of Defence (MOD) — Defence Equipment & Support,Professional Consulting Services — Ministry of Defence (MOD),UK,2026-12-02,"$75,000–$150,000",Robert Half International,HIGH — Prepare in 30 Days,186,Monitor
PROC-02542,Province of Ontario — Ontario Shared Services,Uniformed Security Guard Services — Province of Ontario,CA,2026-12-02,"$150,000–$300,000",Unknown/No Incumbent,CRITICAL — Bid Now,186,Monitor
PROC-02776,City of Seattle — Purchasing & Contracting,IT Infrastructure & Managed Services Contract — City of Seattle,US,2026-12-02,"$2,500,000–$5,000,000",Securitas Security Services USA,CRITICAL — Bid Now,186,Monitor
PROC-00250,Contra Costa County — Purchasing,Records Management & Document Digitization Services — Contra Costa County,US,2026-12-03,"$25,000,000+",Waste Management Inc.,MEDIUM — 60-Day Pipeline,187,Monitor
PROC-00504,Department of Veterans Affairs (VA),Facilities Maintenance & Repair Services — Department of Veterans Affairs (VA),US,2026-12-03,"$1,000,000–$2,500,000",Robert Half International,CRITICAL — Bid Now,187,Monitor
PROC-01145,Miami-Dade County — Internal Services Department,Environmental Compliance & Remediation Services — Miami-Dade County,US,2026-12-03,"$1,000,000–$2,500,000",Allied Universal Security Services,MEDIUM — 60-Day Pipeline,187,Monitor
PROC-01368,AusTender — Australian Government Procurement,Debris Removal & Waste Hauling Services — AusTender,AU,2026-12-03,"$10,000,000–$25,000,000",Local Independent Vendor,WATCH — 90+ Days,187,Monitor
PROC-01637,Department of Homeland Security (DHS),Environmental Compliance & Remediation Services — Department of Homeland Security (DHS),US,2026-12-03,"$5,000,000–$10,000,000",Booz Allen Hamilton,HIGH — Prepare in 30 Days,187,Monitor
PROC-01914,Highways England (National Highways),Professional Consulting Services — Highways England (National Highways),UK,2026-12-03,"$1,000,000–$2,500,000",Clean Harbors Inc.,MEDIUM — 60-Day Pipeline,187,Monitor
PROC-02889,Department of Energy (DOE),IT Infrastructure & Managed Services Contract — Department of Energy (DOE),US,2026-12-03,"$75,000–$150,000",Recall Holdings,MEDIUM — 60-Day Pipeline,187,Monitor
PROC-02914,Solano County — Purchasing Services,Public Works & Infrastructure Maintenance — Solano County,US,2026-12-03,"$1,000,000–$2,500,000",Jan-Pro Franchising International,HIGH — Prepare in 30 Days,187,Monitor
PROC-00642,Greater Vancouver Transit Authority (TransLink),Food Services & Catering Contract — Greater Vancouver Transit Authority (TransLink),CA,2026-12-04,"$500,000–$1,000,000",Booz Allen Hamilton,MEDIUM — 60-Day Pipeline,188,Monitor
PROC-01740,Toronto Transit Commission (TTC) — Procurement,Electrical Maintenance & Repair Services — Toronto Transit Commission (TTC),CA,2026-12-04,"$500,000–$1,000,000",Waste Management Inc.,CRITICAL — Bid Now,188,Monitor
PROC-02564,San Francisco Municipal Transportation Agency (SFMTA),Public Works & Infrastructure Maintenance — San Francisco Municipal Transportation Agency (SFMTA),US,2026-12-04,"$1,000,000–$2,500,000",Iron Mountain Inc.,WATCH — 90+ Days,188,Monitor
PROC-02724,City of Phoenix — Procurement Division,Pest Control & Sanitation Services — City of Phoenix,US,2026-12-04,"$1,000,000–$2,500,000",Cintas Corporation,HIGH — Prepare in 30 Days,188,Monitor
PROC-00794,Department of Homeland Security (DHS),Public Works & Infrastructure Maintenance — Department of Homeland Security (DHS),US,2026-12-05,"$10,000,000–$25,000,000",ManTech International,MEDIUM — 60-Day Pipeline,189,Monitor
PROC-01096,Bay Area Rapid Transit (BART),Custodial Services Contract — Bay Area Rapid Transit (BART),US,2026-12-05,"$150,000–$300,000",Local Independent Vendor,WATCH — 90+ Days,189,Monitor
PROC-02412,Sacramento County — Purchasing Division,Records Management & Document Digitization Services — Sacramento County,US,2026-12-05,"$1,000,000–$2,500,000",Regional Service Provider,WATCH — 90+ Days,189,Monitor
PROC-02932,General Services Administration (GSA),Professional Consulting Services — General Services Administration (GSA),US,2026-12-05,"$5,000,000–$10,000,000",ServiceMaster Clean,MEDIUM — 60-Day Pipeline,189,Monitor
PROC-00416,General Services Administration (GSA),Pest Control & Sanitation Services — General Services Administration (GSA),US,2026-12-06,"$25,000,000+",ABM Industries Inc.,CRITICAL — Bid Now,190,Monitor
PROC-00532,London Borough of Southwark — Procurement,Fleet Maintenance & Vehicle Repair Services — London Borough of Southwark,UK,2026-12-06,"$75,000–$150,000",Waste Management Inc.,WATCH — 90+ Days,190,Monitor
PROC-00961,California Department of Transportation (Caltrans),Public Works & Infrastructure Maintenance — California Department of Transportation (Caltrans),US,2026-12-06,"$150,000–$300,000",Leidos Holdings Inc.,MEDIUM — 60-Day Pipeline,190,Monitor
PROC-01540,Province of British Columbia — BC Bid,Construction & Facility Renovation Services — Province of British Columbia,CA,2026-12-06,"$2,500,000–$5,000,000",Cintas Corporation,HIGH — Prepare in 30 Days,190,Monitor
